drugbank_id	chembl_id	name	inchi_key
DB00006	CHEMBL2103749	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	CHEMBL3989957	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00007	CHEMBL1200775	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	CHEMBL1201199	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	CHEMBL1986266	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	CHEMBL385468	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	CHEMBL4073387	Leuprolide	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00014	CHEMBL1200501	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	CHEMBL1201247	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	CHEMBL2130530	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00014	CHEMBL2133738	Goserelin	BLCLNMBMMGCOAS-URPVMXJPSA-N
DB00027	CHEMBL557217	Gramicidin D	NDAYQJDHGXTBJL-MWWSRJDJSA-N
DB00035	CHEMBL1200556	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	CHEMBL1429	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	CHEMBL2138698	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	CHEMBL2358584	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	CHEMBL264448	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	CHEMBL376685	Desmopressin	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	CHEMBL1200490	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CHEMBL2103735	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CHEMBL437919	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00050	CHEMBL438829	Cetrorelix	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00080	CHEMBL1649722	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	CHEMBL387675	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	CHEMBL404822	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00080	CHEMBL4286784	Daptomycin	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	CHEMBL160	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CHEMBL384718	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CHEMBL386389	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CHEMBL406253	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CHEMBL4108227	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CHEMBL532318	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	CHEMBL602375	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00093	CHEMBL3185126	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00093	CHEMBL3989781	Felypressin	SFKQVVDKFKYTNA-DZCXQCEKSA-N
DB00104	CHEMBL1200480	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CHEMBL1680	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CHEMBL2000504	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CHEMBL2105834	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CHEMBL262746	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CHEMBL3182554	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CHEMBL3350037	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	CHEMBL3545066	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	CHEMBL1252	Abarelix	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	CHEMBL3181870	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	CHEMBL3707338	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	CHEMBL3707339	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	CHEMBL3989490	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	CHEMBL82202	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00116	CHEMBL2021342	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
