drugbank_id	metabolights_id	name	inchi_key
DB13771	MTBLC132362	Ferric sodium citrate	XJDIIQYURGDWCL-UHFFFAOYSA-K
DB13771	MTBLC29034	Ferric sodium citrate	XJDIIQYURGDWCL-UHFFFAOYSA-K
DB13771	MTBLC29101	Ferric sodium citrate	XJDIIQYURGDWCL-UHFFFAOYSA-K
DB13780	MTBLC15377	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC16234	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC29374	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC29375	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC29412	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC33806	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC33811	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC33813	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC34648	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13780	MTBLC41981	Aluminium clofibrate	USWVMPGQVYZHCA-UHFFFAOYSA-K
DB13786	MTBLC16742	Magnesium orotate	QWLHYYKDLOVBNV-UHFFFAOYSA-L
DB13786	MTBLC30839	Magnesium orotate	QWLHYYKDLOVBNV-UHFFFAOYSA-L
DB13789	MTBLC15366	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC15671	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC15672	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC15673	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC15674	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC30089	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC30924	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
DB13789	MTBLC30927	Aluminium acetotartrate	KQVRYPWCDUCYPZ-OLXYHTOASA-K
