drugbank_id	rhea_id	name	inchi_key
DB00114	597326	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	17439	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	48828	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	57453	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	142967	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	57595	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	142093	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	142094	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	59789	Ademetionine	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	15361	Pyruvic acid	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	57981	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	58095	Phenylalanine	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	57586	Biotin	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	15354	Choline	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	32551	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	32557	L-Lysine	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	32682	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	32689	Arginine	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	38290	Ascorbic acid	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	45725	Spermine	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	29990	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	29991	Aspartic acid	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	46911	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	57668	Ornithine	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	58000	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	58359	L-Glutamine	ZDXPYRJPNDTMRX-VKHMYHEASA-N
