drugbank_id	brenda_id	name	inchi_key
DB00006	13504	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	151566	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00006	28560	Bivalirudin	OIRCOABEOLEUMC-GEJPAHFPSA-N
DB00091	1044	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	13159	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	133914	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	134728	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	170708	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	17614	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	229313	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	229314	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	229317	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	229318	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	229319	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	229320	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	88208	Cyclosporine	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	119658	Octreotide	DEQANNDTNATYII-OULOTJBUSA-N
DB00114	122928	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	13475	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	1564	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	16014	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	32	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	4558	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	51895	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	53888	Pyridoxal phosphate	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	105730	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	228542	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	23	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	232927	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	43946	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	4514	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	49473	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	49474	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	56519	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	56654	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	878	Cyanocobalamin	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	10793	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	109833	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	109859	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	109860	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	111823	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	123420	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	136574	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	152407	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16104	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	17543	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	207	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	21915	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	2714	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	4285	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	44093	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	4654	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	50305	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	50404	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	50409	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	50990	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	5326	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	5495	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	55060	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	90288	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	91834	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	97651	Tetrahydrofolic acid	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	1062	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	1063	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	124062	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	124072	Histidine	HNDVDQJCIGZPNO-YFKPBYRVSA-N
