drugbank_id	zinc_id	inchi_key
DB00114	ZINC000001532514	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00116	ZINC000004228235	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	ZINC000004228236	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	ZINC000004228237	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	ZINC000004228238	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	ZINC000006661227	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	ZINC000006661404	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	ZINC000004214738	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000004228231	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000012371977	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000012371978	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000013522357	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000013522362	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000033821030	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000033821031	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000095644663	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000095644664	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	ZINC000139339614	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	ZINC000001532517	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	ZINC000000001927	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	ZINC000000105196	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	ZINC000001532548	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	ZINC000002169825	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	ZINC000002169827	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	ZINC000035024345	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	ZINC000035024346	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	ZINC000035024349	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	ZINC000035024352	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	ZINC000003079337	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	ZINC000001532522	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	ZINC000001532731	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	ZINC000001532525	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	ZINC000001532749	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	ZINC000100006134	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	ZINC000100006137	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	ZINC000100006770	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	ZINC000100006772	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	ZINC000001532734	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	ZINC000000895032	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	ZINC000000895218	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	ZINC000001532530	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	ZINC000001532678	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	ZINC000001532526	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	ZINC000001532609	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	ZINC000001532515	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000001571045	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000001842158	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000002046931	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000002126310	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000003201889	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000003201891	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000003201893	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000003581324	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000003830180	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000003860156	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000003977897	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000004806442	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000008613167	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000008614744	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	ZINC000013518964	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	ZINC000003802189	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	ZINC000003870057	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	ZINC000013508536	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	ZINC000013508538	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	ZINC000013508540	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	ZINC000033822146	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	ZINC000000895034	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	ZINC000000895342	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	ZINC000001532529	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	ZINC000001532766	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	ZINC000000002234	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	ZINC000000266964	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	ZINC000003924790	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000003994235	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000004862775	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000012484901	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000013543615	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000013815383	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000022129829	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000025988840	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000025988848	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000025988857	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000025990572	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000025990582	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000025990590	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000027103601	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000027644181	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000029317994	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000029345962	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000029552075	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000029552079	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000033969738	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000034452013	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000035024574	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000035024577	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000035024580	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000043768011	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000071789635	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000071789636	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000090195403	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000096029744	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100014600	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100014603	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100014605	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100014609	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100015048	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100031094	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100218081	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100218082	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100471161	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100494705	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000100987889	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000101007453	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000101007457	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000102229294	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000104885278	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000104885283	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000109565817	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000112984096	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000146562122	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000169366072	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000169366073	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000195275823	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000195275833	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	ZINC000257354948	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	ZINC000008221225	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00137	ZINC000014879955	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00137	ZINC000014879957	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00137	ZINC000014879959	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00137	ZINC000014879961	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00137	ZINC000040164368	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00137	ZINC000040164369	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00137	ZINC000040164412	KBPHJBAIARWVSC-RGZFRNHPSA-N
