drugbank_id	recon_id	inchi_key
DB00154	CE2516	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00154	HC02100	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00154	dlnlcg	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00155	citr_L	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	thr_L	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00157	nadh	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00158	fol	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	CE2540	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00159	tmndnc	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	ala_D	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	ala_L	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	val_L	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	retinol	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	retinol_9_cis	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	retinol_cis_11	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	retinol_cis_13	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	avite1	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00165	pydxn	LXNHXLLTXMVWPM-UHFFFAOYSA-N
DB00166	lipoate	AGBQKNBQESQNJD-SSDOTTSWSA-N
DB00167	ile_L	AGPKZVBTJJNPAG-WHFBIAKZSA-N
DB00169	vitd3	QYSXJUFSXHHAJI-YRZJJWOYSA-N
DB00171	atp	ZKHQWZAMYRWXGA-KQYNXXCUSA-N
DB00172	pro_D	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00172	pro_L	ONIBWKKTOPOVIA-BYPYZUCNSA-N
DB00173	ade	GFFGJBXGBJISGV-UHFFFAOYSA-N
DB00174	asn_L	DCXYFEDJOCDNAF-REOHCLBHSA-N
DB00194	adn	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00200	aqcobal	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00200	h2o	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00200	oh1	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00258	ac	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00258	ca2	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00279	triodthy	AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00326	ca2	FATUQANACHZLRT-KMRXSBRUSA-L
DB00338	omeprazole	SUBDBMMJDZJVOS-UHFFFAOYSA-N
DB00360	thbpt	FNKQXYHWGSIFBK-RPDRRWSUSA-N
DB00364	h2o	IPLJAZDIICJQEL-JTJNLBSYSA-A
DB00364	oh1	IPLJAZDIICJQEL-JTJNLBSYSA-A
DB00368	nrpphr	SFLSHLFXELFNJZ-QMMMGPOBSA-N
DB00396	prgstrn	RJKFOVLPORLFTN-LEKSSAKUSA-N
DB00416	i	DIGFQJFCDPKEPF-OIUSMDOTSA-L
DB00435	no	MWUXSHHQAYIFBG-UHFFFAOYSA-N
DB00451	thyox_L	XUIIKFGFIJCVMT-LBPRGKRZSA-N
DB00464	na1	FVEFRICMTUKAML-UHFFFAOYSA-M
DB00483	i	REEUVFCVXKWOFE-UHFFFAOYSA-K
DB00509	thyox_L	XUIIKFGFIJCVMT-GFCCVEGCSA-N
DB00515	cl	LXZZYRPGZAFOLE-UHFFFAOYSA-L
DB00515	nh4	LXZZYRPGZAFOLE-UHFFFAOYSA-L
DB00523	13_cis_retn	SHGAZHPCJJPHSC-ZVCIMWCZSA-N
DB00523	CE1617	SHGAZHPCJJPHSC-ZVCIMWCZSA-N
DB00523	CE5594	SHGAZHPCJJPHSC-ZVCIMWCZSA-N
DB00523	retn	SHGAZHPCJJPHSC-ZVCIMWCZSA-N
DB00526	oxa	ZROHGHOFXNOHSO-BNTLRKBRSA-L
DB00534	cl	BJFGVYCULWBXKF-UHFFFAOYSA-M
DB00548	C08261	BDJRBEYXGGNYIS-UHFFFAOYSA-N
DB00583	crn	PHIQHXFUZVPYII-ZCFIWIBFSA-N
DB00624	tststerone	MUMGGOZAMZWBJJ-DYKIIFRCSA-N
DB00627	nac	PVNIIMVLHYAWGP-UHFFFAOYSA-N
DB00640	adn	OIRDTQYFTABQOQ-KQYNXXCUSA-N
DB00650	5fthf	VVIAGPKUTFNRDU-ABLWVSNPSA-N
DB00653	so4	CSNNHWWHGAXBCP-UHFFFAOYSA-L
DB00655	estrone	DNXHEGUUPJUMQT-CBZIJGRNSA-N
DB00668	adrnl	UCTWMZQNUQWSLP-VIFPVBQESA-N
DB00736	omeprazole	SUBDBMMJDZJVOS-DEOSSOPVSA-N
DB00741	crtsl	JYGXADMDTFJGBT-VWUMJDOOSA-N
DB00742	C01507	FBPFZTCFMRRESA-KVTDHHQDSA-N
DB00742	galt	FBPFZTCFMRRESA-KVTDHHQDSA-N
DB00742	sbt_D	FBPFZTCFMRRESA-KVTDHHQDSA-N
DB00755	13_cis_retn	SHGAZHPCJJPHSC-YCNIQYBTSA-N
DB00755	CE1617	SHGAZHPCJJPHSC-YCNIQYBTSA-N
DB00755	CE5594	SHGAZHPCJJPHSC-YCNIQYBTSA-N
DB00755	retn	SHGAZHPCJJPHSC-YCNIQYBTSA-N
DB00761	cl	WCUXLLCKKVVCTQ-UHFFFAOYSA-M
DB00761	k	WCUXLLCKKVVCTQ-UHFFFAOYSA-M
DB00770	prostge1	GMVPRGQOIOIIMI-DWKJAMRDSA-N
DB00783	estradiol	VOXZDWNPVJITMN-ZBRFXRBCSA-N
