drugbank_id	pubchem_tpharma_id	inchi_key
DB00115	14747294	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	14842039	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	15933982	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	16262730	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	163499746	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	163499748	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	16397925	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	16459337	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	16471615	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	24776634	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	85749277	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00115	99243021	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	104229055	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	135379385	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	14759609	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	14783879	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	14785770	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	14857355	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	14883585	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	14908083	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	15240292	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16089619	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	163499921	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	163500150	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16455256	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16540428	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16649811	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16729485	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16835751	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	16943089	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	85205691	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	85205692	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	85205916	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	85205917	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	85205918	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	85205919	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	85262769	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	14747966	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	14772376	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15091155	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15120226	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15170951	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15265119	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15321675	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15321676	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15321682	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15339432	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15388644	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	15462183	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	16238413	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	16238459	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	16275662	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	16472110	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	57644999	HNDVDQJCIGZPNO-YFKPBYRVSA-N
