drugbank_id	chebi_id	inchi_key
DB00125	32695	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	32696	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	32697	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	29073	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	38290	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	51384	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	51438	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	51440	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	15746	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	45725	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	17053	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	17364	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	22660	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	29990	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	29991	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	29993	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	29994	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	29995	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	35391	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	15729	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	16176	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	18257	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	32964	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	44667	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	46911	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	46912	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	46913	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	46914	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	57668	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	17061	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	18050	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	28300	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	32665	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	32666	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	32672	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	32673	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	32678	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	32679	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	58000	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	58359	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	16027	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	40721	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	456215	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	95121	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	27432	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	32387	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	92583	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	16523	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	17115	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	17822	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	32836	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	32837	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	32840	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	32841	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	32845	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	32846	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	33384	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	35243	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	35247	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	16643	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	16811	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	16867	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	32631	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	32632	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	32637	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	32638	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	32644	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	32646	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	57844	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	57932	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	64558	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	17895	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	18186	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	28479	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32760	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32761	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32762	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32773	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32774	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32775	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32784	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32785	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	32786	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	58315	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	58570	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	125427	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	17823	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	93988	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	28838	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00138	145813	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	16283	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	17376	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	35491	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	35492	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	35494	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	63163	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	15741	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00139	30031	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00139	30779	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00139	90372	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	17015	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00140	57986	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00140	95299	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00141	17122	MBLBDJOUHNCFQT-LXGUWJNJSA-N
DB00141	17411	MBLBDJOUHNCFQT-LXGUWJNJSA-N
DB00142	14321	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	15966	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	16015	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	18237	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	29985	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	29986	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	29987	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	29988	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	29989	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	76051	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	16856	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00143	57925	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00145	132194	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	15428	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	32507	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	32508	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	57305	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	125445	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00146	145212	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00146	17933	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00146	94743	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00147	131529	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00147	131530	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00147	17310	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	16919	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00148	57947	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00148	66924	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	143079	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	15603	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	25017	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	28225	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	32619	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	32620	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	32623	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	32624	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	32627	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	32628	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	57427	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	16296	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	16828	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	27897	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	32702	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	32704	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	32716	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	32717	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	32727	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	32728	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	57719	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	57912	QIVBCDIJIAJPQS-VIFPVBQESA-N
