drugbank_id	metabolights_id	inchi_key
DB00080	MTBLC600103	DOAKLVKFURWEDJ-RWDRXURGSA-N
DB00091	MTBLC4031	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00114	MTBLC18405	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00114	MTBLC597326	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00116	MTBLC15635	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	MTBLC20506	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	MTBLC57453	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	MTBLC68437	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	MTBLC142967	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC15971	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC27570	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC27947	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32510	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32512	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32513	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32523	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32526	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32527	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32529	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32531	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC32532	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	MTBLC57595	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	MTBLC142093	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MTBLC142094	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MTBLC15414	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MTBLC33440	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MTBLC33442	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MTBLC59789	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	MTBLC67040	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	MTBLC15361	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	MTBLC32816	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	MTBLC16998	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC17295	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC28044	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC32486	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC32487	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC32494	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC32495	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC32504	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC32505	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC57981	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	MTBLC58095	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	MTBLC15956	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00121	MTBLC57586	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	MTBLC15354	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	MTBLC133538	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC16855	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC18019	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC25094	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32550	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32551	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32552	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32556	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32557	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32558	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32563	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32564	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	MTBLC32565	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	MTBLC15816	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC16467	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC29016	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32681	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32682	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32683	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32688	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32689	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32690	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32695	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32696	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	MTBLC32697	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00126	MTBLC29073	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00126	MTBLC38290	CIWBSHSKHKDKBQ-JLAZNSOCSA-N
DB00127	MTBLC15746	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00127	MTBLC45725	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	MTBLC17053	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC17364	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC22660	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC29990	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC29991	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC29993	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC29994	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC29995	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	MTBLC35391	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00129	MTBLC15729	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC16176	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC18257	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC32964	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC44667	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC46911	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC46912	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC46913	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC46914	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00129	MTBLC57668	AHLPHDHHMVZTML-BYPYZUCNSA-N
DB00130	MTBLC17061	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC18050	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC28300	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC32665	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC32666	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC32672	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC32673	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC32678	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC32679	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC58000	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	MTBLC58359	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	MTBLC16027	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	MTBLC40721	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	MTBLC456215	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	MTBLC27432	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	MTBLC32387	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	MTBLC16523	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC17115	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC17822	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC32836	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC32837	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC32840	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC32841	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC32845	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC32846	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC33384	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC35243	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	MTBLC35247	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	MTBLC16643	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC16811	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC16867	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC32631	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC32632	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC32637	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC32638	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC32644	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC32646	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC57844	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC57932	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	MTBLC64558	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	MTBLC17895	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC18186	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC28479	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32760	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32761	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32762	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32773	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32774	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32775	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32784	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32785	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC32786	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC58315	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	MTBLC58570	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	MTBLC17823	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00137	MTBLC28838	KBPHJBAIARWVSC-RGZFRNHPSA-N
DB00138	MTBLC145813	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	MTBLC16283	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	MTBLC17376	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	MTBLC35491	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	MTBLC35492	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	MTBLC35494	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00138	MTBLC63163	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	MTBLC15741	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00139	MTBLC30031	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00139	MTBLC30779	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	MTBLC17015	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00140	MTBLC57986	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00141	MTBLC17122	MBLBDJOUHNCFQT-LXGUWJNJSA-N
DB00141	MTBLC17411	MBLBDJOUHNCFQT-LXGUWJNJSA-N
DB00142	MTBLC14321	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC15966	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC16015	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC18237	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC29985	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC29986	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC29987	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC29988	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	MTBLC29989	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	MTBLC16856	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00143	MTBLC57925	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00145	MTBLC132194	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	MTBLC15428	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	MTBLC32507	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	MTBLC32508	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00145	MTBLC57305	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00146	MTBLC17933	JWUBBDSIWDLEOM-DTOXIADCSA-N
DB00147	MTBLC131529	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00147	MTBLC131530	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00147	MTBLC17310	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	MTBLC16919	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00148	MTBLC57947	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00148	MTBLC66924	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	MTBLC143079	ROHFNLRQFUQHCH-YFKPBYRVSA-N
