drugbank_id	kegg_ligand_id	inchi_key
DB00148	C00300	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	C00123	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	C01570	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	C16439	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	C00078	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	C00525	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	C00806	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	C00097	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	C00736	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	C00793	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	C00378	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	C05441	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00154	C03242	HOBAELRKJCKHQD-QNEBEIHSSA-N
DB00155	C00327	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	C00188	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	C00820	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	C05519	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	C12317	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00157	C00004	BOPGDPNILDQYTO-NNYOXOHSSA-N
DB00158	C00504	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00159	C06428	JAZBEHYOTPTENJ-JLNKQSITSA-N
DB00160	C00041	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	C00133	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	C01401	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	C00183	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	C06417	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	C16436	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	C00473	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	C00899	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	C16682	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
