drugbank_id	bindingdb_id	inchi_key
DB00007	50230126	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00007	50369395	GFIJNRVAKGFPGQ-LIJARHBVSA-N
DB00035	50205291	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	50205308	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00035	85094	NFLWUMRGJYTJIN-PNIOQBSNSA-N
DB00050	50369965	SBNPWPIBESPSIF-MHWMIDJBSA-N
DB00091	172718	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	181796	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	50022815	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	50150950	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00091	86672	PMATZTZNYRCHOR-CGLBZJNRSA-N
DB00104	50059090	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	50192018	DEQANNDTNATYII-OULOTJBUSA-N
DB00104	50272772	DEQANNDTNATYII-OULOTJBUSA-N
DB00106	50102442	AIWRTTMUVOZGPW-HSPKUQOVSA-N
DB00114	50118216	NGVDGCNFYWLIFO-UHFFFAOYSA-N
DB00115	83973	RMRCNWBMXRMIRW-WZHZPDAFSA-L
DB00116	50022833	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00116	50391006	MSTNYGQPCMXVAQ-KIYNQFGBSA-N
DB00117	181118	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	7953	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00117	81938	HNDVDQJCIGZPNO-YFKPBYRVSA-N
DB00118	197172	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	28422	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00118	50403124	MEFKEPWMEQBLKI-AIRLBKTGSA-N
DB00119	19473	LCTONWCANYUPML-UHFFFAOYSA-N
DB00119	50159792	LCTONWCANYUPML-UHFFFAOYSA-N
DB00120	18073	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00120	92701	COLNVLDHVKWLRT-QMMMGPOBSA-N
DB00121	12	YBJHBAHKTGYVGT-ZKWXMUAHSA-N
DB00122	50026220	OEYIOHPDSNJKLS-UHFFFAOYSA-N
DB00123	217367	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	217368	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00123	50352165	KDXKERNSBIXSRK-YFKPBYRVSA-N
DB00125	181132	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00125	21959	ODKSFYDXXFIFQN-BYPYZUCNSA-N
DB00127	79403	PFNFFQXMRSDOHW-UHFFFAOYSA-N
DB00128	18125	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00128	31174	CKLJMWTZIZZHCS-REOHCLBHSA-N
DB00130	181129	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	18121	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00130	93009	ZDXPYRJPNDTMRX-VKHMYHEASA-N
DB00131	18137	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	50192453	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	50280244	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	61258	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00131	92538	UDMBCSSLTHHNCD-KQYNXXCUSA-N
DB00132	50240347	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00132	50448436	DTOSIQBPPRVQHS-PDBXOOCHSA-N
DB00133	23167	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00133	50357212	MTCFGRXMJLQNBG-REOHCLBHSA-N
DB00134	50142500	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00134	86195	FFEARJCKVFRZRR-BYPYZUCNSA-N
DB00135	18129	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00135	92702	OUYCCCASQSFEME-QMMMGPOBSA-N
DB00136	50200182	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	50233330	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00136	50241974	GMRQFYUYWCNGIN-NKMMMXOESA-N
DB00138	86199	LEVWYRKDKASIDU-IMJSIDKUSA-N
DB00139	26121	KDYFGRWQOYBRFD-UHFFFAOYSA-N
DB00140	50362895	AUNGANRZJHBGPY-SCRDCRAPSA-N
DB00142	17657	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	26431	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	50002371	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	50013055	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00142	93012	WHUUTDBJXJRKMK-VKHMYHEASA-N
DB00143	50422268	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00145	18133	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00147	50366979	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	50357229	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	50219348	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	21974	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	50043799	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	92685	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	50109584	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	50109609	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	86203	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	50373877	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	50049515	MECHNRXZTMCUDQ-RKHKHRCZSA-N
