drugbank_id	mcule_id	inchi_key
DB00143	MCULE-3371744018	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00143	MCULE-9257720320	RWSXRVCMGQZWBV-WDSKDSINSA-N
DB00145	MCULE-2415764032	DHMQDGOQFOQNFH-UHFFFAOYSA-N
DB00147	MCULE-3872885941	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00147	MCULE-8283890626	RADKZDMFGJYCBB-UHFFFAOYSA-N
DB00148	MCULE-3625061513	CVSVTCORWBXHQV-UHFFFAOYSA-N
DB00149	MCULE-3041792060	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	MCULE-4930237913	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	MCULE-7657212416	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00149	MCULE-8280206722	ROHFNLRQFUQHCH-YFKPBYRVSA-N
DB00150	MCULE-3721322622	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	MCULE-4102614655	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	MCULE-5675773208	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	MCULE-8004234494	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00150	MCULE-9808999085	QIVBCDIJIAJPQS-VIFPVBQESA-N
DB00151	MCULE-1666411258	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	MCULE-1896679526	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	MCULE-6337217524	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00151	MCULE-9147562606	XUJNEKJLAYXESH-REOHCLBHSA-N
DB00152	MCULE-2198445125	JZRWCGZRTZMZEH-UHFFFAOYSA-N
DB00153	MCULE-6975405195	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00153	MCULE-7087103660	MECHNRXZTMCUDQ-RKHKHRCZSA-N
DB00155	MCULE-4737953293	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00155	MCULE-7003128917	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00155	MCULE-9892421890	RHGKLRLOHDJJDR-BYPYZUCNSA-N
DB00156	MCULE-1563595722	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	MCULE-5505393195	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	MCULE-9284411012	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00156	MCULE-9531951265	AYFVYJQAPQTCCC-GBXIJSLDSA-N
DB00158	MCULE-1208976029	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00158	MCULE-3509109723	OVBPIULPVIDEAO-LBPRGKRZSA-N
DB00160	MCULE-3571488623	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	MCULE-4751903561	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	MCULE-4916719758	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	MCULE-7791919887	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00160	MCULE-9756365751	QNAYBMKLOCPYGJ-REOHCLBHSA-N
DB00161	MCULE-2507309072	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	MCULE-9143825935	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00161	MCULE-9199801639	KZSNJWFQEVHDMF-BYPYZUCNSA-N
DB00162	MCULE-4951251283	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00162	MCULE-6524977881	FPIPGXGPPPQFEQ-OVSJKPMPSA-N
DB00163	MCULE-3684036705	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00163	MCULE-4241435740	GVJHHUAWPYXKBD-IEOSBIPESA-N
DB00163	MCULE-4717974470	GVJHHUAWPYXKBD-IEOSBIPESA-N
