drugbank_id	dailtmed_new_id	inchi_key
DB00182	DEXTROAMPHETAMINE	KWTSXDURSIMDCE-UHFFFAOYSA-N
DB00183	PENTAGASTRIN	NEYNJQRKHLUJRU-DZUOILHNSA-N
DB00184	NICOTINE	SNICXCGAKADSCV-JTQLQIEISA-N
DB00185	CEVIMELINE	WUTYZMFRCNBCHQ-LHIURRSHSA-N
DB00185	CEVIMELINE HYDROCHLORIDE	WUTYZMFRCNBCHQ-LHIURRSHSA-N
DB00186	LORAZEPAM	DIWRORZWFLOCLC-UHFFFAOYSA-N
DB00187	ESMOLOL	AQNDDEOPVVGCPG-UHFFFAOYSA-N
DB00187	ESMOLOL HYDROCHLORIDE	AQNDDEOPVVGCPG-UHFFFAOYSA-N
DB00188	BORTEZOMIB	GXJABQQUPOEUTA-RDJZCZTQSA-N
DB00190	CARBIDOPA	TZFNLOMSOLWIDK-JTQLQIEISA-N
DB00191	PHENTERMINE	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00191	PHENTERMINE HYDROCHLORIDE	DHHVAGZRUROJKS-UHFFFAOYSA-N
DB00193	TRAMADOL	TVYLLZQTGLZFBW-ZBFHGGJFSA-N
DB00194	ADENOSINE	OIRDTQYFTABQOQ-UHTZMRCNSA-N
DB00195	BETAXOLOL	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00195	BETAXOLOL HYDROCHLORIDE	NWIUTZDMDHAVTP-UHFFFAOYSA-N
DB00196	FLUCONAZOLE	RFHAOTPXVQNOHP-UHFFFAOYSA-N
DB00198	OSELTAMIVIR	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00198	OSELTAMIVIR PHOSPHATE	VSZGPKBBMSAYNT-RRFJBIMHSA-N
DB00199	ERYTHROMYCIN	ULGZDMOVFRHVEP-RWJQBGPGSA-N
DB00200	WATER	YOZNUFWCRFCGIH-WZHZPDAFSA-K
DB00201	CAFFEINE	RYYVLZVUVIJVGH-UHFFFAOYSA-N
DB00202	SUCCINYLCHOLINE CHLORIDE	AXOIZCJOOAYSMI-UHFFFAOYSA-N
DB00203	SILDENAFIL	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00203	SILDENAFIL CITRATE	BNRNXUUZRGQAQC-UHFFFAOYSA-N
DB00204	DOFETILIDE	IXTMWRCNAAVVAI-UHFFFAOYSA-N
DB00205	PYRIMETHAMINE	WKSAUQYGYAYLPV-UHFFFAOYSA-N
DB00206	RESERPINE	QEVHRUUCFGRFIF-MDEJGZGSSA-N
DB00208	TICLOPIDINE	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00208	TICLOPIDINE HYDROCHLORIDE	PHWBOXQYWZNQIN-UHFFFAOYSA-N
DB00209	TROSPIUM	OYYDSUSKLWTMMQ-JKHIJQBDSA-N
DB00209	TROSPIUM CHLORIDE	OYYDSUSKLWTMMQ-JKHIJQBDSA-N
DB00210	ADAPALENE	LZCDAPDGXCYOEH-UHFFFAOYSA-N
DB00211	MIDODRINE	PTKSEFOSCHHMPD-UHFFFAOYSA-N
DB00211	MIDODRINE HYDROCHLORIDE	PTKSEFOSCHHMPD-UHFFFAOYSA-N
DB00213	PANTOPRAZOLE	IQPSEEYGBUAQFF-UHFFFAOYSA-N
DB00214	TORSEMIDE	NGBFQHCMQULJNZ-UHFFFAOYSA-N
DB00215	CITALOPRAM	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	CITALOPRAM HYDROBROMIDE	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	ESCITALOPRAM	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00215	ESCITALOPRAM OXALATE	WSEQXVZVJXJVFP-UHFFFAOYSA-N
DB00216	ELETRIPTAN	PWVXXGRKLHYWKM-LJQANCHMSA-N
DB00216	ELETRIPTAN HYDROBROMIDE	PWVXXGRKLHYWKM-LJQANCHMSA-N
DB00218	MOXIFLOXACIN	FABPRXSRWADJSP-MEDUHNTESA-N
DB00218	MOXIFLOXACIN HYDROCHLORIDE	FABPRXSRWADJSP-MEDUHNTESA-N
DB00220	NELFINAVIR	QAGYKUNXZHXKMR-HKWSIXNMSA-N
DB00220	NELFINAVIR MESYLATE	QAGYKUNXZHXKMR-HKWSIXNMSA-N
DB00222	GLIMEPIRIDE	WIGIZIANZCJQQY-RUCARUNLSA-N
DB00224	INDINAVIR	CBVCZFGXHXORBI-PXQQMZJSSA-N
DB00224	INDINAVIR SULFATE	CBVCZFGXHXORBI-PXQQMZJSSA-N
DB00227	LOVASTATIN	PCZOHLXUXFIOCF-BXMDZJJMSA-N
DB00230	PREGABALIN	AYXYPKUFHZROOJ-ZETCQYMHSA-N
DB00231	TEMAZEPAM	SEQDDYPDSLOBDC-UHFFFAOYSA-N
DB00232	METHYCLOTHIAZIDE	CESYKOGBSMNBPD-UHFFFAOYSA-N
DB00233	AMINOSALICYLIC ACID	WUBBRNOQWQTFEX-UHFFFAOYSA-N
DB00235	MILRINONE	PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00235	MILRINONE LACTATE	PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00237	BUTABARBITAL	ZRIHAIZYIMGOAB-UHFFFAOYSA-N
DB00237	BUTABARBITAL SODIUM	ZRIHAIZYIMGOAB-UHFFFAOYSA-N
DB00238	NEVIRAPINE	NQDJXKOVJZTUJA-UHFFFAOYSA-N
DB00239	OXICONAZOLE	QRJJEGAJXVEBNE-HKOYGPOVSA-N
DB00239	OXICONAZOLE NITRATE	QRJJEGAJXVEBNE-HKOYGPOVSA-N
DB00241	BUTALBITAL	UZVHFVZFNXBMQJ-UHFFFAOYSA-N
DB00242	CLADRIBINE	PTOAARAWEBMLNO-KVQBGUIXSA-N
DB00243	RANOLAZINE	XKLMZUWKNUAPSZ-UHFFFAOYSA-N
DB00244	MESALAMINE	KBOPZPXVLCULAV-UHFFFAOYSA-N
DB00245	BENZTROPINE	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00245	BENZTROPINE MESYLATE	GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00246	ZIPRASIDONE	MVWVFYHBGMAFLY-UHFFFAOYSA-N
DB00246	ZIPRASIDONE HYDROCHLORIDE	MVWVFYHBGMAFLY-UHFFFAOYSA-N
DB00246	ZIPRASIDONE MESYLATE	MVWVFYHBGMAFLY-UHFFFAOYSA-N
DB00248	CABERGOLINE	KORNTPPJEAJQIU-KJXAQDMKSA-N
DB00250	DAPSONE	MQJKPEGWNLWLTK-UHFFFAOYSA-N
DB00251	TERCONAZOLE	BLSQLHNBWJLIBQ-OZXSUGGESA-N
DB00252	PHENYTOIN	CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00252	PHENYTOIN SODIUM	CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00253	MEDRYSONE	GZENKSODFLBBHQ-ILSZZQPISA-N
DB00254	DOXYCYCLINE	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00254	DOXYCYCLINE CALCIUM	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00254	DOXYCYCLINE HYCLATE	JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00255	DIETHYLSTILBESTROL	RGLYKWWBQGJZGM-ISLYRVAYSA-N
DB00257	CLOTRIMAZOLE	VNFPBHJOKIVQEB-UHFFFAOYSA-N
DB00258	ACETIC ACID	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00258	CALCIUM ACETATE	VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00259	SULFANILAMIDE	FDDDEECHVMSUSB-UHFFFAOYSA-N
DB00260	CYCLOSERINE	DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00261	ANAGRELIDE	OTBXOEAOVRKTNQ-UHFFFAOYSA-N
DB00261	ANAGRELIDE HYDROCHLORIDE	OTBXOEAOVRKTNQ-UHFFFAOYSA-N
DB00262	CARMUSTINE	DLGOEMSEDOSKAD-UHFFFAOYSA-N
DB00263	SULFISOXAZOLE	NHUHCSRWZMLRLA-UHFFFAOYSA-N
DB00264	METOPROLOL	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00264	METOPROLOL SUCCINATE	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00264	METOPROLOL TARTRATE	IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00265	CROTAMITON	DNTGGZPQPQTDQF-UHFFFAOYSA-N
DB00268	ROPINIROLE	UHSKFQJFRQCDBE-UHFFFAOYSA-N
DB00268	ROPINIROLE HYDROCHLORIDE	UHSKFQJFRQCDBE-UHFFFAOYSA-N
DB00270	ISRADIPINE	HMJIYCCIJYRONP-UHFFFAOYSA-N
DB00271	DIATRIZOATE MEGLUMINE	YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00271	DIATRIZOATE SODIUM	YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00271	DIATRIZOIC ACID	YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00273	TOPIRAMATE	KJADKKWYZYXHBB-XBWDGYHZSA-N
DB00275	OLMESARTAN	VTRAEEWXHOVJFV-UHFFFAOYSA-N
DB00277	THEOPHYLLINE	ZFXYFBGIUFBOJW-UHFFFAOYSA-N
DB00278	ARGATROBAN	KXNPVXPOPUZYGB-IOVMHBDKSA-N
DB00279	LIOTHYRONINE	AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00279	LIOTHYRONINE SODIUM	AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00280	DISOPYRAMIDE	UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00280	DISOPYRAMIDE PHOSPHATE	UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00281	LIDOCAINE	NNJVILVZKWQKPM-UHFFFAOYSA-N
DB00282	PAMIDRONATE DISODIUM	WRUUGTRCQOWXEG-UHFFFAOYSA-N
